Маршрут,Превозно средство,Ред в маршрута,ID клиент,Име клиент,Номер поръчка,Обем (ст.),GPS координати,Разстояние до центъра (км),Депо стартова точка,Разстояние от предишен (км),Накоплено разстояние (км),Време от предишен (мин),Накоплено време (мин),Стартово време (мин),Време с натрупване (мин),Време с натрупване (чч:мм)
1,Вътрешен автобус,1,1007416801,ИРИС 60 ЕООД,0004313573,6.0,"42.60119,23.04058",25.51,"42.695785, 23.231659",18.84,18.84,44.7,44.7,480,524.7,08:44
1,Вътрешен автобус,2,1005696301,СИЛВАНА - 91 - СИЛВИЯ ЗАХАРИЕВА ЕТ,0004313574,3.0,"42.59167,23.03573",26.33,"42.695785, 23.231659",1.13,19.97,9.3,53.9,480,533.9,08:53
1,Вътрешен автобус,3,1007376001,ДВД - 25 ЕООД,0004313452,4.0,"42.59678,22.98764",29.68,"42.695785, 23.231659",3.98,23.95,15.0,68.9,480,548.9,09:08
1,Вътрешен автобус,4,1003949001,АНИ ПЕТРОВА 21 ЕООД,0004313454,10.0,"42.54416,22.95727",34.49,"42.695785, 23.231659",6.36,30.3,19.7,88.6,480,568.6,09:28
1,Вътрешен автобус,5,1005598201,ГАБИ - 28 ЕООД,0004313453,7.0,"42.54601,22.95897",34.27,"42.695785, 23.231659",0.25,30.55,7.5,96.1,480,576.1,09:36
1,Вътрешен автобус,6,1005202701,В.НИКОЛОВ-САБИНА МАРИЕТА ЕТ,0004313455,20.0,"42.540294138988884,22.966933293790816",34.03,"42.695785, 23.231659",0.91,31.46,8.8,104.9,480,584.9,09:44
1,Вътрешен автобус,7,1005852002,ГАРАНТ - С ЕООД,0004313446,3.0,"42.54202,22.97067",33.66,"42.695785, 23.231659",0.36,31.82,7.7,112.6,480,592.6,09:52
1,Вътрешен автобус,8,1005381401,МИРЧОНИ ЕООД,0004313447,4.0,"42.54705,22.96648",33.68,"42.695785, 23.231659",0.66,32.48,8.3,121.0,480,601.0,10:00
1,Вътрешен автобус,9,1005698812,ЕКСПАНЖЪН ООД,0004313886,10.0,"42.54762398127235,22.965606674551964",33.71,"42.695785, 23.231659",0.1,32.58,7.2,128.2,480,608.2,10:08
1,Вътрешен автобус,10,1007410101,КАБО 2012 ЕООД,0004313448,11.0,"42.55261,22.96604",33.4,"42.695785, 23.231659",0.56,33.13,8.1,136.3,480,616.3,10:16
1,Вътрешен автобус,11,1005202305,ДИЕЛ ЕООД,0004313450,28.0,"42.59617643232653,23.023387088031768",27.02,"42.695785, 23.231659",6.75,39.88,20.5,156.8,480,636.8,10:36
1,Вътрешен автобус,12,1005202302,ДИЕЛ ЕООД,0004313451,8.0,"42.6014550888148,23.02548699080944",26.63,"42.695785, 23.231659",0.61,40.49,8.2,165.0,480,645.0,10:44
1,Вътрешен автобус,13,1007366401,МЕРКУРИЙ- 78 -КИРИЛОВИ С-ИЕ СД,0004313883,6.0,"42.60797,23.03071",25.95,"42.695785, 23.231659",0.84,41.33,8.7,173.7,480,653.7,10:53
1,Вътрешен автобус,14,1005199802,АЛНИЯ СД ЕООД,0004313882,6.0,"42.60778,23.03077",25.95,"42.695785, 23.231659",0.02,41.35,7.0,180.7,480,660.7,11:00
1,Вътрешен автобус,15,1005849101,ИВИ - 2015 ЕООД,0004313884,7.0,"42.60722,23.03077",25.98,"42.695785, 23.231659",0.06,41.42,7.1,187.8,480,667.8,11:07
1,Вътрешен автобус,16,1005373201,РАВАС 8 ООД,0004313885,20.0,"42.60722,23.03026",26.02,"42.695785, 23.231659",0.04,41.46,7.1,194.9,480,674.9,11:14
1,Вътрешен автобус,17,1005161904,НИКАР ГРУП ЕООД,0004314051,15.0,"42.60999,23.03389",25.62,"42.695785, 23.231659",0.43,41.88,7.9,202.8,480,682.8,11:22
1,Вътрешен автобус,18,1007383101,БРЕЗНИК 23 ООД,0004314049,6.0,"42.61277,23.03615",25.33,"42.695785, 23.231659",0.36,42.24,7.7,210.5,480,690.5,11:30
1,Вътрешен автобус,19,1007953202,ТЕСИ-АНЕСТИЕВИ ЕООД,0004314058,5.0,"42.61608,23.0328",25.46,"42.695785, 23.231659",0.46,42.7,7.9,218.4,480,698.4,11:38
1,Вътрешен автобус,20,1005828602,САНДРИНА ЕООД,0004314050,5.0,"42.6095,23.03581",25.5,"42.695785, 23.231659",0.77,43.48,8.5,227.0,480,707.0,11:46
1,Вътрешен автобус,21,1007270801,МЕРИДИАН ПЛАНЕТ ЕООД,0004313930,16.0,"42.60649,23.0327",25.86,"42.695785, 23.231659",0.42,43.9,7.8,234.8,480,714.8,11:54
1,Вътрешен автобус,22,1007207101,ВЛАД АУТО ДРАЙВЪР ЕООД,0004313755,6.0,"42.66596,23.27222",5.47,"42.695785, 23.231659",20.68,64.58,48.4,283.2,480,763.2,12:43
2,Вътрешен автобус,1,1007324401,ГЪРИ 69 ЕООД,0004314097,9.0,"42.66063,24.05558",59.96,"42.695785, 23.231659",67.47,67.47,141.9,141.9,480,621.9,10:21
2,Вътрешен автобус,2,1005211004,ПК ЗЛАТИЦА 91,0004314120,9.0,"42.71961,24.13454",66.29,"42.695785, 23.231659",9.2,76.67,25.4,167.3,480,647.3,10:47
2,Вътрешен автобус,3,1005727803,АСЯ - ТРАНС ЕООД,0004313571,5.0,"42.69952394818372,24.175536073744297",69.6,"42.695785, 23.231659",4.03,80.69,15.1,182.4,480,662.4,11:02
2,Вътрешен автобус,4,1005727802,АСЯ - ТРАНС ЕООД,0004313572,4.0,"42.70051595152338,24.176298156380653",69.67,"42.695785, 23.231659",0.13,80.82,7.3,189.6,480,669.6,11:09
2,Вътрешен автобус,5,1007239801,БЕНЬО ЦАРВУЛДЖИЕВ ЕТ,0004314086,2.0,"42.63115,24.35794",84.88,"42.695785, 23.231659",16.74,97.56,40.5,230.1,480,710.1,11:50
2,Вътрешен автобус,6,1005126701,ЕРА 2006 ЕООД,0004313569,9.0,"42.7035,24.17983",69.96,"42.695785, 23.231659",16.64,114.19,40.3,270.4,480,750.4,12:30
2,Вътрешен автобус,7,1001150306,БРИЛЯНТ - 34 ЕООД,0004313419,5.0,"42.72084,23.53",17.05,"42.695785, 23.231659",53.13,167.32,113.3,383.6,480,863.6,14:23
2,Вътрешен автобус,8,1007403301,БУЛ СОФТ БИЛД ЕООД,0004313536,4.0,"42.73767,23.51631",16.35,"42.695785, 23.231659",2.18,169.5,11.4,395.0,480,875.0,14:35
2,Вътрешен автобус,9,1007984601,ШАНС-ВАЛЕНТИНА ВЕЛЬОВА ЕТ,0004313535,4.0,"42.73735,23.51552",16.28,"42.695785, 23.231659",0.07,169.57,7.1,402.1,480,882.1,14:42
2,Вътрешен автобус,10,1007322401,ЦВЕТИ 1988 ЕООД,0004313844,3.0,"42.73659,23.5141",16.15,"42.695785, 23.231659",0.14,169.72,7.3,409.4,480,889.4,14:49
2,Вътрешен автобус,11,1005954903,ИВ-КАМЕЯ ЕООД,0004313611,15.0,"42.73584,23.51286",16.03,"42.695785, 23.231659",0.13,169.85,7.3,416.7,480,896.7,14:56
2,Вътрешен автобус,12,1001150502,ВАСИЛКА БГ ЕООД,0004313843,24.0,"42.73909,23.51197",16.06,"42.695785, 23.231659",0.37,170.22,7.7,424.4,480,904.4,15:04
2,Вътрешен автобус,13,1007398301,РИМ СТИЛ ЕООД,0004313918,19.0,"42.7402,23.50948",15.9,"42.695785, 23.231659",0.24,170.46,7.5,431.9,480,911.9,15:11
2,Вътрешен автобус,14,1005752404,ИВАН ДАКОВ ЕООД,0004314194,4.0,"42.76512,23.56772",21.3,"42.695785, 23.231659",5.5,175.96,18.0,449.9,480,929.9,15:29
2,Вътрешен автобус,15,1005364204,КАРОЛИНА ТРЕЙД ЕООД,0004314133,27.0,"42.76511,23.56643",21.2,"42.695785, 23.231659",0.11,176.06,7.2,457.1,480,937.1,15:37
2,Вътрешен автобус,16,1005852702,ЯНЧЕВ И СИНОВЕ ЕООД,0004314193,4.0,"42.76333,23.56445",20.98,"42.695785, 23.231659",0.26,176.32,7.5,464.6,480,944.6,15:44
2,Вътрешен автобус,17,1005090210,ВКУСНА ХРАНА ЕООД,0004314024,7.0,"42.73226,23.55787",19.51,"42.695785, 23.231659",3.5,179.82,14.0,478.6,480,958.6,15:58
2,Вътрешен автобус,18,1005735901,ГЕОРГИ ВАРАДИНОВ - 83 ЕООД,0004313997,9.0,"42.73187,23.55824",19.53,"42.695785, 23.231659",0.05,179.87,7.1,485.7,480,965.7,16:05
2,Вътрешен автобус,19,1005077401,САМАРКО- ВАСИЛ КРЪСТАНОВ   ЕТ,0004313393,3.0,"42.69982372984965,23.492229177207946",13.77,"42.695785, 23.231659",6.46,186.33,19.9,505.7,480,985.7,16:25
2,Вътрешен автобус,20,1001150503,ВАСИЛКА БГ ЕООД,0004313392,9.0,"42.6999147392701,23.49207267165184",13.75,"42.695785, 23.231659",0.02,186.35,7.0,512.7,480,992.7,16:32
2,Вътрешен автобус,21,1005881101,ЙОРДАНОВА-78 ЕООД,0004313578,10.0,"42.70034,23.30061",1.92,"42.695785, 23.231659",15.65,202.0,38.3,551.0,480,1031.0,17:10
3,Вътрешен автобус,1,1001120101,КИРКОВ 2000 ООД,0004313429,10.0,"42.70413,23.28993",2.87,"42.695785, 23.231659",4.85,4.85,16.7,16.7,480,496.7,08:16
3,Вътрешен автобус,2,1005881002,ЗААР ТИЙМ ЕООД,0004313596,4.0,"42.70281,23.30145",1.93,"42.695785, 23.231659",0.95,5.8,8.9,25.6,480,505.6,08:25
3,Вътрешен автобус,3,1005326001,НОКОВ И СИН ЕООД,0004313865,8.0,"42.70485214567942,23.301916792988777",1.97,"42.695785, 23.231659",0.23,6.03,7.5,33.1,480,513.1,08:33
3,Вътрешен автобус,4,1007000101,ДАБЪЛ В ЕООД,0004313556,13.0,"42.71628,23.34101",2.53,"42.695785, 23.231659",3.44,9.47,13.9,46.9,480,526.9,08:46
3,Вътрешен автобус,5,1007331001,ММВ 300317 ЕООД,0004313775,10.0,"42.68055,23.46481",11.67,"42.695785, 23.231659",10.87,20.34,28.7,75.7,480,555.7,09:15
3,Вътрешен автобус,6,1005977702,ТВОЕТО КАФЕ ЕООД,0004313776,11.0,"42.68054,23.46529",11.71,"42.695785, 23.231659",0.04,20.38,7.1,82.8,480,562.8,09:22
3,Вътрешен автобус,7,1005053602,САНИ-М 1962 ЕООД,0004313774,2.0,"42.6794,23.46508",11.72,"42.695785, 23.231659",0.13,20.51,7.3,90.0,480,570.0,09:30
3,Вътрешен автобус,8,1005136102,ЕДЕЛВАЙС - И ЕООД,0004313555,7.0,"42.66246,23.46452",12.14,"42.695785, 23.231659",1.88,22.39,10.8,100.8,480,580.8,09:40
3,Вътрешен автобус,9,1005970001,ИЗИ ТРЕЙД 2017 ООД,0004313554,13.0,"42.66134,23.46456",12.18,"42.695785, 23.231659",0.12,22.52,7.2,108.0,480,588.0,09:48
3,Вътрешен автобус,10,1005053604,САНИ-М 1962 ЕООД,0004313860,4.0,"42.6595,23.46002",11.9,"42.695785, 23.231659",0.42,22.94,7.8,115.9,480,595.9,09:55
3,Вътрешен автобус,11,1005863901,ДМ МАРКЕТ ООД,0004313591,8.0,"42.61189,23.41377",12.02,"42.695785, 23.231659",6.51,29.45,20.0,135.9,480,615.9,10:15
3,Вътрешен автобус,12,1007382704,ИЛЕМА ТРЕЙД ООД,0004313589,18.0,"42.61364,23.4149",11.92,"42.695785, 23.231659",0.22,29.66,7.4,143.3,480,623.3,10:23
3,Вътрешен автобус,13,1005163901,МИМЕКС ТРЕЙД ЕООД,0004313592,9.0,"42.61646,23.41833",11.86,"42.695785, 23.231659",0.42,30.08,7.8,151.2,480,631.2,10:31
3,Вътрешен автобус,14,1007130045,ВИ&ВИ ОЙЛ ЕООД,0004313823,5.0,"42.61186,23.39982",11.36,"42.695785, 23.231659",1.6,31.68,10.2,161.4,480,641.4,10:41
3,Вътрешен автобус,15,1005573306,КЕЙ БИ КЕЙ ЕООД,0004314128,1.0,"42.5766,23.41426",15.33,"42.695785, 23.231659",4.1,35.78,15.2,176.6,480,656.6,10:56
3,Вътрешен автобус,16,1007988701,МЕЛИМА ЕООД,0004313832,14.0,"42.5822,23.42431",15.22,"42.695785, 23.231659",1.03,36.81,9.1,185.6,480,665.6,11:05
3,Вътрешен автобус,17,1007004101,КРАСИ КАН ЕООД,0004314129,11.0,"42.54143,23.49765",22.43,"42.695785, 23.231659",7.53,44.34,22.1,207.7,480,687.7,11:27
3,Вътрешен автобус,18,1007152201,ДЕНЕМИ ЕООД,0004313822,4.0,"42.5851,23.42197",14.84,"42.695785, 23.231659",7.87,52.21,22.7,230.4,480,710.4,11:50
3,Вътрешен автобус,19,1005487551,АЛКОХОЛ И ТАБАКОФФ ЕООД,0004313724,9.0,"42.62686,23.38385",9.25,"42.695785, 23.231659",5.59,57.8,18.2,248.6,480,728.6,12:08
3,Вътрешен автобус,20,1001060105,345 ЕООД,0004313623,19.0,"42.62860686536667,23.37493121623993",8.71,"42.695785, 23.231659",0.76,58.56,8.5,257.1,480,737.1,12:17
3,Вътрешен автобус,21,1007331901,ВЕСТЕЛ 23 ЕООД,0004313609,11.0,"42.64082,23.34936",6.62,"42.695785, 23.231659",2.49,61.05,12.0,269.1,480,749.1,12:29
3,Вътрешен автобус,22,1005865202,МОЛИ ГРУП ЕООД,0004313831,4.0,"42.644535,23.340375",6.03,"42.695785, 23.231659",0.84,61.9,8.7,277.8,480,757.8,12:37
3,Вътрешен автобус,23,1005960202,ВАСИМАР - ИН ЕООД,0004313789,8.0,"42.64304,23.33959",6.18,"42.695785, 23.231659",0.18,62.07,7.4,285.1,480,765.1,12:45
3,Вътрешен автобус,24,1007233501,МЕРГО 2114 ЕООД,0004314093,4.0,"42.6435,23.33728",6.09,"42.695785, 23.231659",0.2,62.27,7.4,292.5,480,772.5,12:52
3,Вътрешен автобус,25,1005918603,ЕМ ТРЕЙД 13 ЕООД,0004314197,20.0,"42.65932,23.31685",4.27,"42.695785, 23.231659",2.43,64.7,11.9,304.4,480,784.4,13:04
3,Вътрешен автобус,26,1005177501,ЦЕЗАР И СИН ЕООД,0004314198,5.0,"42.662,23.31679",3.97,"42.695785, 23.231659",0.3,64.99,7.6,312.0,480,792.0,13:11
3,Вътрешен автобус,27,1007252006,ЗЛАТЕН КРЪГ ЕООД,0004314196,8.0,"42.6594,23.31625",4.27,"42.695785, 23.231659",0.29,65.29,7.6,319.6,480,799.6,13:19
3,Вътрешен автобус,28,1005231801,ИВАС - 2009 ЕООД,0004313407,14.0,"42.66966,23.30364",3.49,"42.695785, 23.231659",1.54,66.82,10.1,329.6,480,809.6,13:29
3,Вътрешен автобус,29,1005949501,НИН БЪЛГАРИЯ ООД,0004313834,4.0,"42.67707,23.28508",3.89,"42.695785, 23.231659",1.73,68.55,10.5,340.1,480,820.1,13:40
4,Вътрешен автобус,1,1007064501,ТРЕЙДИНГ БРАДЪРС 2019 ООД,0004313753,9.0,"42.72474291624934,23.24553944170475",7.08,"42.695785, 23.231659",3.41,3.41,13.8,13.8,480,493.8,08:13
4,Вътрешен автобус,2,1005262401,ЗОЯ - ЗОЯ СТЕФАНОВА ЕТ,0004313746,4.0,"42.72749715254293,23.248292996139525",7.02,"42.695785, 23.231659",0.38,3.79,7.8,21.6,480,501.6,08:21
